pair_name,left_zeta,right_zeta,noise_std,noise_power,clean_advantage_iae,mean_true_gap_iae,ci_true_gap_iae_low,ci_true_gap_iae_high,mean_observed_gap_iae,ci_observed_gap_iae_low,ci_observed_gap_iae_high,mean_parity_ratio_iae,ci_parity_ratio_iae_low,ci_parity_ratio_iae_high,mean_observed_minus_true_gap,true_winner_probability_left,observed_winner_probability_left,inversion_probability,ci_inversion_probability_low,ci_inversion_probability_high,mean_occupancy_ratio,mean_occupancy_difference
0.15_vs_0.707,0.15,0.707,0.0,0.0,6.940875909927004,6.940875909927004,6.940875909927004,6.940875909927004,6.940875909927004,6.940875909927004,6.940875909927004,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0
0.25_vs_0.707,0.25,0.707,0.0,0.0,6.356317498756673,6.356317498756673,6.356317498756673,6.356317498756673,6.356317498756673,6.356317498756673,6.356317498756673,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0
0.35_vs_0.707,0.35,0.707,0.0,0.0,5.474601947547314,5.474601947547314,5.474601947547314,5.474601947547314,5.474601947547314,5.474601947547314,5.474601947547314,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0
0.15_vs_0.707,0.15,0.707,0.01,0.0001,6.940875909927004,6.623492370206424,6.616302498072691,6.630649910881526,5.915347910883677,5.910660192083744,5.919530584808069,0.04572672726602833,0.044651183966050396,0.046858370309788275,-0.7081444593227466,1.0,1.0,0.0,0.0,0.0,15.941986039705217,0.0003828348175059062
0.25_vs_0.707,0.25,0.707,0.01,0.0001,6.356317498756673,6.344122542795988,6.34274197431194,6.345376342146288,5.804180139375471,5.800990039819206,5.806932775753083,0.001918556768611563,0.001707800345122745,0.0021291030431586115,-0.5399424034205181,1.0,1.0,0.0,0.0,0.0,6.129015167249007,0.00013141262348398885
0.35_vs_0.707,0.35,0.707,0.01,0.0001,5.474601947547314,5.474501232405551,5.474152372255911,5.474881762016462,5.27735422412981,5.275394782670706,5.279174262625117,1.839679719712275e-05,-5.4159634745447014e-05,8.605093184060215e-05,-0.1971470082757413,1.0,1.0,0.0,0.0,0.0,3.349771818183768,6.0204477691551356e-05
0.15_vs_0.707,0.15,0.707,0.02,0.0004,6.940875909927004,6.0608624212940265,6.044812965796549,6.075473135884053,4.629082383395133,4.6214907774500755,4.636328029157288,0.12678709431677926,0.12476697984651179,0.12919754881251894,-1.4317800378988939,1.0,1.0,0.0,0.0,0.0,15.941986039705217,0.0015313392700236248
0.25_vs_0.707,0.25,0.707,0.02,0.0004,6.356317498756673,6.186753902171847,6.180378243025254,6.19287416935786,4.686408504016434,4.681232676057984,4.692226956803138,0.02667638874521187,0.02560939774157853,0.027683294020595474,-1.5003453981554122,1.0,1.0,0.0,0.0,0.0,6.129015167249007,0.0005256504939359554
0.35_vs_0.707,0.35,0.707,0.02,0.0004,5.474601947547314,5.472016271218188,5.470852253827738,5.4728849842347795,4.422051296010896,4.417775060578387,4.426737989025731,0.0004723039873767862,0.0003027660634784002,0.0006543346688260785,-1.0499649752072917,1.0,1.0,0.0,0.0,0.0,3.349771818183768,0.00024081791076620542
0.15_vs_0.707,0.15,0.707,0.03,0.0009,6.940875909927004,5.490034466805382,5.466045120279779,5.513415508946681,3.516940002423426,3.50564519034975,3.529759847363371,0.20902858111129652,0.20587495962147656,0.21233119223373081,-1.9730944643819561,1.0,1.0,0.0,0.0,0.0,15.941986039705217,0.003445513357553155
