family_slug,pair_name,left_zeta,right_zeta,noise_std,noise_power,clean_advantage_iae,mean_true_gap_iae,ci_true_gap_iae_low,ci_true_gap_iae_high,mean_observed_gap_iae,ci_observed_gap_iae_low,ci_observed_gap_iae_high,mean_parity_ratio_iae,ci_parity_ratio_iae_low,ci_parity_ratio_iae_high,true_winner_probability_left,observed_winner_probability_left,inversion_probability,ci_inversion_probability_low,ci_inversion_probability_high
pid_generic,0.15_vs_0.707,0.15,0.707,0.0,0.0,4.348871290837408,4.348871290837408,4.348871290837408,4.348871290837408,4.348871290837408,4.348871290837408,4.348871290837408,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
pid_generic,0.25_vs_0.707,0.25,0.707,0.0,0.0,3.9833533398263157,3.9833533398263157,3.9833533398263157,3.9833533398263157,3.9833533398263157,3.9833533398263157,3.9833533398263157,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
pid_generic,0.35_vs_0.707,0.35,0.707,0.0,0.0,3.4350077418248146,3.4350077418248146,3.4350077418248146,3.4350077418248146,3.4350077418248146,3.4350077418248146,3.4350077418248146,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
pid_generic,0.15_vs_0.707,0.15,0.707,0.01,0.0001,4.348871290837408,3.947128926604604,3.9399648145858,3.9540320913789846,3.2324154107386285,3.228811435131899,3.2361934320309085,0.09237853626048513,0.09079032898219651,0.09398426747492887,1.0,1.0,0.0,0.0,0.0
pid_generic,0.25_vs_0.707,0.25,0.707,0.01,0.0001,3.9833533398263157,3.930998741205119,3.928812901125557,3.9333821033154104,3.2304871377767075,3.227854797432961,3.23309898068036,0.01314334786666975,0.012486000495242342,0.013829668317103354,1.0,1.0,0.0,0.0,0.0
pid_generic,0.35_vs_0.707,0.35,0.707,0.01,0.0001,3.4350077418248146,3.4340573886153,3.4336737809302726,3.43441971369528,3.013965971492678,3.0118959200335156,3.01587370616134,0.0002766669774694626,0.000180833018429376,0.0003952993334945161,1.0,1.0,0.0,0.0,0.0
pid_generic,0.15_vs_0.707,0.15,0.707,0.02,0.0004,4.348871290837408,3.3677774276053025,3.354169297963078,3.382282443464537,2.107911802869255,2.101605841302002,2.114411488458133,0.22559735564010902,0.22240696309143987,0.2289679599757594,1.0,1.0,0.0,0.0,0.0
pid_generic,0.25_vs_0.707,0.25,0.707,0.02,0.0004,3.9833533398263157,3.674458912491538,3.6653241830501027,3.684154638966704,2.2262063959782776,2.2213620518300994,2.2311282330078797,0.07754632867900392,0.0751993852982975,0.07974137187397104,1.0,1.0,0.0,0.0,0.0
pid_generic,0.35_vs_0.707,0.35,0.707,0.02,0.0004,3.4350077418248146,3.3989699361469095,3.396248079286261,3.4015191333410733,2.143574148737931,2.139456579729386,2.147882167727295,0.01049133171931699,0.00969346728939131,0.011322062963170705,1.0,1.0,0.0,0.0,0.0
pid_generic,0.15_vs_0.707,0.15,0.707,0.03,0.0009,4.348871290837408,2.7804171619899916,2.7609861854916784,2.798347217753047,1.356798586931561,1.3472833577014998,1.3654590365238675,0.3606577486328413,0.35572339906315553,0.3646516303433399,1.0,1.0,0.0,0.0,0.0
pid_generic,0.25_vs_0.707,0.25,0.707,0.03,0.0009,3.9833533398263157,3.3499759887830995,3.3351910488951755,3.364838876346196,1.5659739230343774,1.5603047070591023,1.5718238469934103,0.1590060677546708,0.1548948282710735,0.16307088306742085,1.0,1.0,0.0,0.0,0.0
pid_generic,0.35_vs_0.707,0.35,0.707,0.03,0.0009,3.4350077418248146,3.2807895332015304,3.2729835398100566,3.2878926860055087,1.5514062119342396,1.546895721116426,1.5565479721829725,0.04489602941662007,0.04263728938824284,0.04706712895379965,1.0,1.0,0.0,0.0,0.0
pid_generic,0.15_vs_0.707,0.15,0.707,0.04,0.0016,4.348871290837408,2.1885413153777233,2.1606080468061646,2.2193939639102327,0.8568254284749015,0.8442882472569957,0.8689782019693157,0.4967564756426024,0.4896419001450853,0.5033748711619614,1.0,1.0,0.0,0.0,0.0
pid_generic,0.25_vs_0.707,0.25,0.707,0.04,0.0016,3.9833533398263157,2.9859671993938517,2.9668501653995416,3.0067669746358043,1.1520469603457375,1.1449822301677481,1.1583731373942194,0.2503885684607517,0.24580012288819508,0.2551526743944281,1.0,1.0,0.0,0.0,0.0
pid_generic,0.35_vs_0.707,0.35,0.707,0.04,0.0016,3.4350077418248146,3.08241045585453,3.0701385516885598,3.09412681644644,1.1812207141304458,1.175933009230594,1.1861667141243926,0.1026481779581001,0.09913370370305459,0.10599985476676801,1.0,1.0,0.0,0.0,0.0
pid_generic,0.15_vs_0.707,0.15,0.707,0.05,0.0025000000000000005,4.348871290837408,1.6137834208962134,1.5745422889542169,1.6530521471237314,0.47088999702940304,0.45700704770944534,0.48341785443011936,0.6289190199083895,0.6198472643265749,0.6381082638383285,1.0,1.0,0.0,0.0,0.0
pid_generic,0.25_vs_0.707,0.25,0.707,0.05,0.0025000000000000005,3.9833533398263157,2.6701092558904187,2.639990588224043,2.697322485558661,0.8557163433629433,0.847301254809517,0.8632918947308245,0.3296830514144545,0.3224503220312907,0.3361085165688431,1.0,1.0,0.0,0.0,0.0
pid_generic,0.35_vs_0.707,0.35,0.707,0.05,0.0025000000000000005,3.4350077418248146,2.904258692328145,2.8862554594093286,2.92217186845532,0.9238285608866256,0.9175208113659876,0.9295744512773553,0.15451174768378104,0.14917071774828933,0.15976625181025936,1.0,1.0,0.0,0.0,0.0
pid_generic,0.15_vs_0.707,0.15,0.707,0.06,0.0036,4.348871290837408,0.9882977417747758,0.9436952083883862,1.0344779745509496,0.16770579360848237,0.15116972493731698,0.18519071371048684,0.7727461505110511,0.7628634931124273,0.7829441810521964,1.0,0.9111111111111111,0.08888888888888889,0.05,0.12777777777777777
pid_generic,0.25_vs_0.707,0.25,0.707,0.06,0.0036,3.9833533398263157,2.3062723615653278,2.2772220965746777,2.3375927158479155,0.6497067135945158,0.6414287168960542,0.6580161505192919,0.42102239876468356,0.4134947777122244,0.42854090437638787,1.0,1.0,0.0,0.0,0.0
