pair_name,family_slug,left_zeta,right_zeta,noise_std,noise_power,trial_index,clean_advantage_iae,clean_advantage_ise,true_gap_iae,observed_gap_iae,true_gap_ise,pairwise_excess_gap_iae,parity_ratio_iae,left_occupancy_proxy_l2,right_occupancy_proxy_l2,true_winner_left,observed_winner_left,inversion_event
0.15_vs_0.707,powerplant_load_following,0.15,0.707,0.0,0.0,0,18.185747046988677,1.0687792212215839,18.185747046988677,18.185747046988677,1.0687792212215839,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,powerplant_load_following,0.25,0.707,0.0,0.0,0,16.64026788138317,1.0482173907404524,16.64026788138317,16.64026788138317,1.0482173907404524,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,powerplant_load_following,0.35,0.707,0.0,0.0,0,14.374727724460858,0.9929717709674872,14.374727724460858,14.374727724460858,0.9929717709674872,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,powerplant_load_following,0.15,0.707,0.0,0.0,1,18.185747046988677,1.0687792212215839,18.185747046988677,18.185747046988677,1.0687792212215839,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,powerplant_load_following,0.25,0.707,0.0,0.0,1,16.64026788138317,1.0482173907404524,16.64026788138317,16.64026788138317,1.0482173907404524,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,powerplant_load_following,0.35,0.707,0.0,0.0,1,14.374727724460858,0.9929717709674872,14.374727724460858,14.374727724460858,0.9929717709674872,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,powerplant_load_following,0.15,0.707,0.0,0.0,2,18.185747046988677,1.0687792212215839,18.185747046988677,18.185747046988677,1.0687792212215839,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,powerplant_load_following,0.25,0.707,0.0,0.0,2,16.64026788138317,1.0482173907404524,16.64026788138317,16.64026788138317,1.0482173907404524,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,powerplant_load_following,0.35,0.707,0.0,0.0,2,14.374727724460858,0.9929717709674872,14.374727724460858,14.374727724460858,0.9929717709674872,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,powerplant_load_following,0.15,0.707,0.0,0.0,3,18.185747046988677,1.0687792212215839,18.185747046988677,18.185747046988677,1.0687792212215839,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,powerplant_load_following,0.25,0.707,0.0,0.0,3,16.64026788138317,1.0482173907404524,16.64026788138317,16.64026788138317,1.0482173907404524,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,powerplant_load_following,0.35,0.707,0.0,0.0,3,14.374727724460858,0.9929717709674872,14.374727724460858,14.374727724460858,0.9929717709674872,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,powerplant_load_following,0.15,0.707,0.0,0.0,4,18.185747046988677,1.0687792212215839,18.185747046988677,18.185747046988677,1.0687792212215839,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,powerplant_load_following,0.25,0.707,0.0,0.0,4,16.64026788138317,1.0482173907404524,16.64026788138317,16.64026788138317,1.0482173907404524,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,powerplant_load_following,0.35,0.707,0.0,0.0,4,14.374727724460858,0.9929717709674872,14.374727724460858,14.374727724460858,0.9929717709674872,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,powerplant_load_following,0.15,0.707,0.0,0.0,5,18.185747046988677,1.0687792212215839,18.185747046988677,18.185747046988677,1.0687792212215839,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,powerplant_load_following,0.25,0.707,0.0,0.0,5,16.64026788138317,1.0482173907404524,16.64026788138317,16.64026788138317,1.0482173907404524,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,powerplant_load_following,0.35,0.707,0.0,0.0,5,14.374727724460858,0.9929717709674872,14.374727724460858,14.374727724460858,0.9929717709674872,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,powerplant_load_following,0.15,0.707,0.0,0.0,6,18.185747046988677,1.0687792212215839,18.185747046988677,18.185747046988677,1.0687792212215839,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,powerplant_load_following,0.25,0.707,0.0,0.0,6,16.64026788138317,1.0482173907404524,16.64026788138317,16.64026788138317,1.0482173907404524,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,powerplant_load_following,0.35,0.707,0.0,0.0,6,14.374727724460858,0.9929717709674872,14.374727724460858,14.374727724460858,0.9929717709674872,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,powerplant_load_following,0.15,0.707,0.0,0.0,7,18.185747046988677,1.0687792212215839,18.185747046988677,18.185747046988677,1.0687792212215839,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,powerplant_load_following,0.25,0.707,0.0,0.0,7,16.64026788138317,1.0482173907404524,16.64026788138317,16.64026788138317,1.0482173907404524,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,powerplant_load_following,0.35,0.707,0.0,0.0,7,14.374727724460858,0.9929717709674872,14.374727724460858,14.374727724460858,0.9929717709674872,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,powerplant_load_following,0.15,0.707,0.0,0.0,8,18.185747046988677,1.0687792212215839,18.185747046988677,18.185747046988677,1.0687792212215839,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,powerplant_load_following,0.25,0.707,0.0,0.0,8,16.64026788138317,1.0482173907404524,16.64026788138317,16.64026788138317,1.0482173907404524,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,powerplant_load_following,0.35,0.707,0.0,0.0,8,14.374727724460858,0.9929717709674872,14.374727724460858,14.374727724460858,0.9929717709674872,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,powerplant_load_following,0.15,0.707,0.0,0.0,9,18.185747046988677,1.0687792212215839,18.185747046988677,18.185747046988677,1.0687792212215839,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,powerplant_load_following,0.25,0.707,0.0,0.0,9,16.64026788138317,1.0482173907404524,16.64026788138317,16.64026788138317,1.0482173907404524,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,powerplant_load_following,0.35,0.707,0.0,0.0,9,14.374727724460858,0.9929717709674872,14.374727724460858,14.374727724460858,0.9929717709674872,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,powerplant_load_following,0.15,0.707,0.0,0.0,10,18.185747046988677,1.0687792212215839,18.185747046988677,18.185747046988677,1.0687792212215839,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,powerplant_load_following,0.25,0.707,0.0,0.0,10,16.64026788138317,1.0482173907404524,16.64026788138317,16.64026788138317,1.0482173907404524,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,powerplant_load_following,0.35,0.707,0.0,0.0,10,14.374727724460858,0.9929717709674872,14.374727724460858,14.374727724460858,0.9929717709674872,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,powerplant_load_following,0.15,0.707,0.0,0.0,11,18.185747046988677,1.0687792212215839,18.185747046988677,18.185747046988677,1.0687792212215839,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,powerplant_load_following,0.25,0.707,0.0,0.0,11,16.64026788138317,1.0482173907404524,16.64026788138317,16.64026788138317,1.0482173907404524,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,powerplant_load_following,0.35,0.707,0.0,0.0,11,14.374727724460858,0.9929717709674872,14.374727724460858,14.374727724460858,0.9929717709674872,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,powerplant_load_following,0.15,0.707,0.0,0.0,12,18.185747046988677,1.0687792212215839,18.185747046988677,18.185747046988677,1.0687792212215839,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,powerplant_load_following,0.25,0.707,0.0,0.0,12,16.64026788138317,1.0482173907404524,16.64026788138317,16.64026788138317,1.0482173907404524,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,powerplant_load_following,0.35,0.707,0.0,0.0,12,14.374727724460858,0.9929717709674872,14.374727724460858,14.374727724460858,0.9929717709674872,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,powerplant_load_following,0.15,0.707,0.0,0.0,13,18.185747046988677,1.0687792212215839,18.185747046988677,18.185747046988677,1.0687792212215839,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,powerplant_load_following,0.25,0.707,0.0,0.0,13,16.64026788138317,1.0482173907404524,16.64026788138317,16.64026788138317,1.0482173907404524,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,powerplant_load_following,0.35,0.707,0.0,0.0,13,14.374727724460858,0.9929717709674872,14.374727724460858,14.374727724460858,0.9929717709674872,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,powerplant_load_following,0.15,0.707,0.0,0.0,14,18.185747046988677,1.0687792212215839,18.185747046988677,18.185747046988677,1.0687792212215839,0.0,0.0,0.0,0.0,1,1,0
