family_slug,pair_name,left_zeta,right_zeta,noise_std,noise_power,clean_advantage_iae,mean_true_gap_iae,ci_true_gap_iae_low,ci_true_gap_iae_high,mean_observed_gap_iae,ci_observed_gap_iae_low,ci_observed_gap_iae_high,mean_parity_ratio_iae,ci_parity_ratio_iae_low,ci_parity_ratio_iae_high,true_winner_probability_left,observed_winner_probability_left,inversion_probability,ci_inversion_probability_low,ci_inversion_probability_high
missile_guidance,0.15_vs_0.707,0.15,0.707,0.0,0.0,4.838970008435965,4.838970008435965,4.838970008435965,4.838970008435965,4.838970008435965,4.838970008435965,4.838970008435965,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
missile_guidance,0.25_vs_0.707,0.25,0.707,0.0,0.0,4.428840851187814,4.428840851187814,4.428840851187814,4.428840851187814,4.428840851187814,4.428840851187814,4.428840851187814,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
missile_guidance,0.35_vs_0.707,0.35,0.707,0.0,0.0,3.826228841547988,3.826228841547988,3.826228841547988,3.826228841547988,3.826228841547988,3.826228841547988,3.826228841547988,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
missile_guidance,0.15_vs_0.707,0.15,0.707,0.01,0.0001,4.838970008435965,4.54843109737614,4.541789684530359,4.555257007161702,3.861826940094394,3.858574975701718,3.86499423687415,0.06004147794950506,0.058693741657065215,0.06146992091247893,1.0,1.0,0.0,0.0,0.0
missile_guidance,0.25_vs_0.707,0.25,0.707,0.01,0.0001,4.428840851187814,4.41072110712546,4.408988873617129,4.412539991617598,3.807477595461713,3.8052329125549846,3.8099309590857664,0.004091306206565058,0.0037309865646834436,0.004504957293180924,1.0,1.0,0.0,0.0,0.0
missile_guidance,0.35_vs_0.707,0.35,0.707,0.01,0.0001,3.826228841547988,3.8239266924446635,3.8233447016327915,3.8244216336716326,3.5135488895518794,3.511653518692837,3.5154264359341956,0.0006016757488015542,0.0004474465254677508,0.000755079353253284,1.0,1.0,0.0,0.0,0.0
missile_guidance,0.15_vs_0.707,0.15,0.707,0.02,0.0004,4.838970008435965,4.090488024568061,4.077137978822485,4.106091381427682,2.7589120630393293,2.752045628382628,2.7660620294849205,0.15467795472239873,0.15202912172000066,0.15761844490191929,1.0,1.0,0.0,0.0,0.0
missile_guidance,0.25_vs_0.707,0.25,0.707,0.02,0.0004,4.428840851187814,4.246508779677396,4.2390379811561205,4.253671586856021,2.812163934306141,2.807824161421625,2.816883590279091,0.04116925345409896,0.039449773175047595,0.04279207549308722,1.0,1.0,0.0,0.0,0.0
missile_guidance,0.35_vs_0.707,0.35,0.707,0.02,0.0004,3.826228841547988,3.813371272585884,3.811466775973783,3.814955783991117,2.6707119864751094,2.666763837234059,2.6748342226034643,0.0033603763639245363,0.0028656661117576823,0.0037863227827832978,1.0,1.0,0.0,0.0,0.0
missile_guidance,0.15_vs_0.707,0.15,0.707,0.03,0.0009,4.838970008435965,3.607615093330493,3.5862499168848565,3.6318315706044157,1.958338419471551,1.9496540668926154,1.968403785201605,0.2544663250565312,0.2496493839761282,0.2586729544768138,1.0,1.0,0.0,0.0,0.0
