pair_name,family_slug,left_zeta,right_zeta,noise_std,noise_power,trial_index,clean_advantage_iae,clean_advantage_ise,true_gap_iae,observed_gap_iae,true_gap_ise,pairwise_excess_gap_iae,parity_ratio_iae,left_occupancy_proxy_l2,right_occupancy_proxy_l2,true_winner_left,observed_winner_left,inversion_event
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,23,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,23,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,23,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,24,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,24,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,24,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,25,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,25,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,25,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,26,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,26,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,26,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,27,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,27,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,27,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,28,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,28,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,28,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,29,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,29,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,29,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,30,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,30,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,30,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,31,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,31,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,31,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,32,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,32,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,32,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,33,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,33,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,33,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,34,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,34,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,34,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,35,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,35,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,35,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,36,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,36,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,36,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,37,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,37,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,37,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,38,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,38,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,38,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,39,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,39,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,39,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,40,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,40,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,40,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,41,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,41,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,41,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,42,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,42,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,42,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,43,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,43,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
0.35_vs_0.707,pid_generic,0.35,0.707,0.0,0.0,43,3.4350077418248155,0.13335265492348244,3.4350077418248155,3.4350077418248155,0.13335265492348244,0.0,0.0,0.0,0.0,1,1,0
0.15_vs_0.707,pid_generic,0.15,0.707,0.0,0.0,44,4.34887129083741,0.14237518912110703,4.34887129083741,4.34887129083741,0.14237518912110703,0.0,0.0,0.0,0.0,1,1,0
0.25_vs_0.707,pid_generic,0.25,0.707,0.0,0.0,44,3.9833533398263175,0.1401299219330557,3.9833533398263175,3.9833533398263175,0.1401299219330557,0.0,0.0,0.0,0.0,1,1,0
