pair_name,left_zeta,right_zeta,noise_std,noise_power,trial_index,clean_advantage_iae,clean_advantage_ise,true_gap_iae,observed_gap_iae,true_gap_ise,observed_gap_ise,pairwise_excess_gap_iae,parity_ratio_iae,left_occupancy_proxy_l2,right_occupancy_proxy_l2,occupancy_ratio,occupancy_difference,observed_minus_true_gap,true_winner_left,observed_winner_left,inversion_event
0.15_vs_0.707,0.15,0.707,0.0,0.0,4,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,4,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,4,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,5,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,5,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,5,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,6,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,6,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,6,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,7,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,7,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,7,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,8,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,8,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,8,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,9,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,9,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,9,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,10,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,10,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,10,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,11,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,11,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,11,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,12,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,12,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,12,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,13,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,13,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,13,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,14,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,14,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,14,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,15,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,15,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,15,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,16,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,16,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,16,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,17,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,17,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,17,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,18,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,18,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,18,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,19,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,19,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,19,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,20,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,20,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,20,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,21,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,21,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,21,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,22,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,22,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,22,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,23,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,23,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,23,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,24,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,24,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,24,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,25,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,25,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,25,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,26,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,26,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,26,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,27,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,27,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,27,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,28,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,28,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,28,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,29,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,29,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,29,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,30,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,30,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,30,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,31,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,31,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,31,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,32,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,32,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,32,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,33,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,33,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,33,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,34,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,34,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,34,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,35,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,35,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,35,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,36,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,36,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,36,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,37,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,37,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,37,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,38,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,38,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,38,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,39,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,39,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.35_vs_0.707,0.35,0.707,0.0,0.0,39,5.474601947547315,0.3385505062312761,5.474601947547315,5.474601947547315,0.3385505062312761,0.3385505062312761,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.15_vs_0.707,0.15,0.707,0.0,0.0,40,6.940875909927002,0.3607375036291911,6.940875909927002,6.940875909927002,0.3607375036291911,0.3607375036291911,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
0.25_vs_0.707,0.25,0.707,0.0,0.0,40,6.356317498756672,0.3553790845592888,6.356317498756672,6.356317498756672,0.3553790845592888,0.3553790845592888,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,0
