noise_std,best_zeta_by_mean_true_iae,slow_band_deficit_rank_fidelity,inverse_bandwidth_rank_fidelity,step_settling_time_rank_fidelity
0.0,0.15,1.0,1.0,0.4285714285714286
0.02,0.25,0.942857142857143,0.942857142857143,0.48571428571428577
0.04,0.25,0.942857142857143,0.942857142857143,0.48571428571428577
0.08,0.4,0.6,0.6,0.8285714285714287
0.12,0.4,0.6,0.6,0.8285714285714287
0.16,0.4,0.2571428571428572,0.2571428571428572,0.8857142857142858
0.2,0.4,0.2571428571428572,0.2571428571428572,0.8857142857142858
