noise_std,zeta,mean_true_iae,std_true_iae,p10_true_iae,median_true_iae,p90_true_iae,mean_observed_iae,std_observed_iae,p10_observed_iae,median_observed_iae,p90_observed_iae
0.0,0.15,0.40200116386544466,1.6653345369377348e-16,0.4020011638654445,0.4020011638654445,0.4020011638654445,0.40200116386544466,1.6653345369377348e-16,0.4020011638654445,0.4020011638654445,0.4020011638654445
0.0,0.25,1.112256774494634,2.220446049250313e-16,1.1122567744946337,1.1122567744946337,1.1122567744946337,1.112256774494634,2.220446049250313e-16,1.1122567744946337,1.1122567744946337,1.1122567744946337
0.0,0.4,2.8416517928196314,4.440892098500626e-16,2.841651792819632,2.841651792819632,2.841651792819632,2.8416517928196314,4.440892098500626e-16,2.841651792819632,2.841651792819632,2.841651792819632
0.0,0.55,5.3565883877578715,8.881784197001252e-16,5.356588387757871,5.356588387757871,5.356588387757871,5.3565883877578715,8.881784197001252e-16,5.356588387757871,5.356588387757871,5.356588387757871
0.0,0.707,8.814562940646454,0.0,8.814562940646454,8.814562940646454,8.814562940646454,8.814562940646454,0.0,8.814562940646454,8.814562940646454,8.814562940646454
0.0,1.0,17.44650766787291,3.552713678800501e-15,17.446507667872908,17.446507667872908,17.446507667872908,17.44650766787291,3.552713678800501e-15,17.446507667872908,17.446507667872908,17.446507667872908
0.02,0.15,1.4269129803007545,0.0811546981438808,1.3178423452719938,1.4261860680802452,1.5237287630952154,2.7833620250856432,0.06142865840904889,2.708554808288649,2.781653055256709,2.8547570833081717
0.02,0.25,1.2561781170579032,0.052253352442748126,1.1862089683736472,1.2581652978813864,1.3163001524614957,2.6925478616506267,0.04386394158353795,2.644689733351701,2.6869057847260045,2.750376695995935
0.02,0.4,2.8318122869881037,0.0582422893098077,2.7604415746601125,2.8314410763375806,2.9030668248193217,3.439791550930016,0.029821276514250983,3.40238207313783,3.436966090030031,3.4788885320017893
0.02,0.55,5.347196233768543,0.05840539010855978,5.273564178630191,5.347159018069716,5.417739167550768,5.466720301719709,0.014155822294905746,5.44926390214547,5.465216846328827,5.4839355448032245
0.02,0.707,8.805239048244383,0.05834715179584266,8.733021902718932,8.806585438051213,8.875758790002088,8.826156079907863,0.007438737696946927,8.815251819194073,8.827207472974383,8.834816917799493
0.02,1.0,17.436902802144473,0.057631911395879955,17.366697451492186,17.43957506032249,17.509814934970343,17.452952238016863,0.008711717518976068,17.441728136258533,17.45271311675814,17.463462996616936
0.04,0.15,2.7202271630089156,0.15538593000072048,2.5426046696018023,2.7110051347319377,2.9332852018641407,5.480514434903293,0.12086671821481804,5.324752567958759,5.474407145811629,5.621814997827928
0.04,0.25,1.8535226779023688,0.10011438050197471,1.739536596908288,1.8516834627415573,1.9927492065921006,5.116977504838519,0.08956958571217266,5.000000760187804,5.102602023469045,5.234923806457955
0.04,0.4,2.8525965716441433,0.10727817369507535,2.705229086946163,2.8488744704348097,3.02361081287411,5.40010968671061,0.0714229282122715,5.304065520620566,5.404492618022283,5.486794709229976
