family,family_label,primary_task,settling_rank_fidelity,bandwidth_rank_fidelity,slow_band_rank_fidelity,abs_settling_rank_fidelity,abs_bandwidth_rank_fidelity,abs_slow_band_rank_fidelity,slow_band_minus_settling_abs,slow_band_minus_bandwidth_abs,matched_pair_support_exists,pair_count_meeting_threshold,top_pair_settling_diff_pct,top_pair_iae_ratio,command_max_noise_ordering_spearman,measurement_max_noise_ordering_spearman,nuisance_note
synthetic_matched_family,Synthetic matched family,ramp+sine,0.4285714285714286,-1.0,1.0,0.4285714285714286,1.0,1.0,0.5714285714285714,0.0,True,3,8.049535603715185,21.926758684966803,0.4780952380952381,0.9161904761904762,One-shot ordering degrades strongly under command noise but remains strong under measurement noise.
out-of-family-plant-pi-validation,Explicit plant + PI,ramp+sine,0.01801874925391118,-1.0,1.0,0.01801874925391118,1.0,1.0,0.9819812507460888,0.0,True,8,10.309278350515456,21.588392285183584,,,"At max measurement noise, true winner probability for 0.15 vs 0.707 is 0.520 while observed winner probability is 0.285."
out-of-family-aircraft-longitudinal-autopilot,Aircraft autopilot,glide_profile,0.8928571428571429,-0.9285714285714288,0.9642857142857145,0.8928571428571429,0.9285714285714288,0.9642857142857145,0.07142857142857162,0.0357142857142857,False,0,,,,,"At max measurement noise, true winner probability for 0.15 vs 0.707 is 1.000 while observed winner probability is 1.000."
