batch_name,sample_index,zeta,wn_scale,wn,noise_std,iae,ise,peak_abs_error,mean_abs_error,shadow_horizon_eps_0_02,shadow_mass_l1,slow_band_deficit_0_05,step_settling_time_2pct
nominal_clean,0,0.1,1.0,1.0,0.0,0.9637885893331152,0.0082988968424827,0.03491473805635818,0.006424736851047252,39.84873109138642,6.386810045318991,1.7165679986480602e-06,38.367295911989
nominal_clean,0,0.15,1.0,1.0,0.0,1.3646011200514971,0.01408187695334462,0.035742242544075944,0.009096631005028489,27.303412926615824,4.275237292674191,3.784893378457491e-06,25.85948243530441
nominal_clean,0,0.2,1.0,1.0,0.0,1.7921456318226645,0.02295974766867146,0.036620036803619416,0.011946716211803415,20.983872984123014,3.2248580231391504,6.68002918328979e-06,19.596199524940616
nominal_clean,0,0.25,1.0,1.0,0.0,2.2332504401290185,0.03464700719347349,0.03755615454566601,0.014887192218385465,15.470683835479434,2.5992863046135675,1.0401456019459086e-05,14.10176272034004
nominal_clean,0,0.3,1.0,1.0,0.0,2.6738904803258654,0.04904408108984768,0.03855658442582198,0.017824570281457553,12.545318164770595,2.186348043266823,1.4948506570698874e-05,11.213901737717213
nominal_clean,0,0.35,1.0,1.0,0.0,3.1140651597179674,0.06610450790467567,0.03962775536918328,0.020758846450303403,12.264033004125515,1.8951200044870724,2.032036595416362e-05,10.970121265158143
nominal_clean,0,0.4,1.0,1.0,0.0,3.5537738850552065,0.08580173561033476,0.04077900151188866,0.023690016770505872,9.657457182147768,1.6803152064279856,2.6516072154754524e-05,8.401050131266407
nominal_clean,0,0.45,1.0,1.0,0.0,3.9930160625495317,0.10811805377630151,0.04202081983827828,0.026618077284059908,9.56369546193274,1.5167946386367455,3.353451653729953e-05,8.34479309913739
nominal_clean,0,0.5,1.0,1.0,0.0,4.431791097880696,0.13304016645976796,0.043365433057199185,0.029543024029410773,9.28241030128766,1.3895567213358997,4.137444443603397e-05,8.063507938492311
nominal_clean,0,0.55,1.0,1.0,0.0,4.870098396231972,0.16055717990517732,0.04482657032751261,0.03246485304169215,7.01337667208401,1.2891523006454435,5.003445582074609e-05,5.813226653331666
nominal_clean,0,0.6,1.0,1.0,0.0,5.30793736229233,0.19065959641222008,0.0464224757691855,0.035383560352740616,7.088386048256031,1.2093813576162218,5.9513006038869814e-05,5.925740717589698
nominal_clean,0,0.65,1.0,1.0,0.0,5.745307400279098,0.2233387725912732,0.04817352039773559,0.038299141991246725,7.1258907363420425,1.1460717459222138,6.98084066327284e-05,6.00075009376172
nominal_clean,0,0.7,1.0,1.0,0.0,6.182207913958648,0.25858660981235704,0.050104170602598384,0.04121159398289289,7.088386048256031,1.0963813935164692,8.091882623105252e-05,5.963245405675709
nominal_clean,0,0.707,1.0,1.0,0.0,6.24333648387358,0.2637258422213985,0.050390319518667105,0.04161908728953321,7.069633704213026,1.0903906981917797,8.253921289156732e-05,5.944493061632704
nominal_clean,0,0.75,1.0,1.0,0.0,6.618638306651203,0.2963953684896343,0.05224362317290364,0.04412091235038538,6.825853231653956,1.0583793169410194,9.284229151382063e-05,5.738217277159644
nominal_clean,0,0.8,1.0,1.0,0.0,7.054597981270546,0.3367575520270054,0.05462448218807939,0.047027093113719075,4.8193524190523815,1.0307669728023736,0.00010557668824939364,3.7504688086010747
nominal_clean,0,0.85,1.0,1.0,0.0,7.490086340318505,0.3796658317359019,0.057278700628433044,0.04993013229014069,5.231903987998499,1.0126251577680618,0.00011911976240284311,4.181772721590199
nominal_clean,0,0.9,1.0,1.0,0.0,7.925102785905975,0.425112996795896,0.06022211491056623,0.05283002589428887,5.719464933116639,1.003022889626492,0.00013346912131429928,4.688086010751343
nominal_clean,0,0.95,1.0,1.0,0.0,8.359646719792078,0.4730919200328476,0.06340764423054832,0.05572676993845523,6.263282910363795,1.0001119632450037,0.00014862223494607854,5.250656332041505
nominal_clean,0,1.0,1.0,1.0,0.0,8.793717543374711,0.5235955339726093,0.06669277748960573,0.05862036043252138,6.825853231653956,0.9999706963146388,0.00016457643719727956,5.831978997374671
wide_jitter_noisy,0,0.1,1.0773523601172268,1.0773523601172268,0.08,9.797056900832441,0.9998772602796447,0.294641923294666,0.06531602350984307,36.9983747968496,6.386808159086186,1.4709660894017531e-06,35.61070133766721
wide_jitter_noisy,1,0.1,1.051060310118276,1.051060310118276,0.08,9.837441794655772,1.0141828407390079,0.29267628306007465,0.06558587435187971,37.917239654956866,6.386805026329945,1.5481127850451957e-06,36.51081385173146
