batch_name,zeta,sample_count,iae_mean,iae_std,iae_p10,iae_median,iae_p90,shadow_mass_l1_mean,shadow_mass_l1_std
nominal_clean,0.1,1,0.9637885893331152,0.0,0.9637885893331152,0.9637885893331152,0.9637885893331152,6.386810045318991,0.0
nominal_clean,0.15,1,1.3646011200514971,0.0,1.3646011200514971,1.3646011200514971,1.3646011200514971,4.275237292674191,0.0
nominal_clean,0.2,1,1.7921456318226645,0.0,1.7921456318226645,1.7921456318226645,1.7921456318226645,3.2248580231391504,0.0
nominal_clean,0.25,1,2.2332504401290185,0.0,2.2332504401290185,2.2332504401290185,2.2332504401290185,2.5992863046135675,0.0
nominal_clean,0.3,1,2.6738904803258654,0.0,2.6738904803258654,2.6738904803258654,2.6738904803258654,2.186348043266823,0.0
nominal_clean,0.35,1,3.1140651597179674,0.0,3.1140651597179674,3.1140651597179674,3.1140651597179674,1.8951200044870724,0.0
nominal_clean,0.4,1,3.5537738850552065,0.0,3.5537738850552065,3.5537738850552065,3.5537738850552065,1.6803152064279856,0.0
nominal_clean,0.45,1,3.9930160625495317,0.0,3.9930160625495317,3.9930160625495317,3.9930160625495317,1.5167946386367455,0.0
nominal_clean,0.5,1,4.431791097880696,0.0,4.431791097880696,4.431791097880696,4.431791097880696,1.3895567213358997,0.0
nominal_clean,0.55,1,4.870098396231972,0.0,4.870098396231972,4.870098396231972,4.870098396231972,1.2891523006454435,0.0
nominal_clean,0.6,1,5.30793736229233,0.0,5.30793736229233,5.30793736229233,5.30793736229233,1.2093813576162218,0.0
nominal_clean,0.65,1,5.745307400279098,0.0,5.745307400279098,5.745307400279098,5.745307400279098,1.1460717459222138,0.0
nominal_clean,0.7,1,6.182207913958648,0.0,6.182207913958648,6.182207913958648,6.182207913958648,1.0963813935164692,0.0
nominal_clean,0.707,1,6.24333648387358,0.0,6.24333648387358,6.24333648387358,6.24333648387358,1.0903906981917797,0.0
nominal_clean,0.75,1,6.618638306651203,0.0,6.618638306651203,6.618638306651203,6.618638306651203,1.0583793169410194,0.0
nominal_clean,0.8,1,7.054597981270546,0.0,7.054597981270546,7.054597981270546,7.054597981270546,1.0307669728023736,0.0
nominal_clean,0.85,1,7.490086340318505,0.0,7.490086340318505,7.490086340318505,7.490086340318505,1.0126251577680618,0.0
nominal_clean,0.9,1,7.925102785905975,0.0,7.925102785905975,7.925102785905975,7.925102785905975,1.003022889626492,0.0
nominal_clean,0.95,1,8.359646719792078,0.0,8.359646719792078,8.359646719792078,8.359646719792078,1.0001119632450037,0.0
nominal_clean,1.0,1,8.793717543374711,0.0,8.793717543374711,8.793717543374711,8.793717543374711,0.9999706963146388,0.0
wide_jitter_noisy,0.1,30,9.85042420533088,0.09042293847655414,9.725468842341636,9.839915106052917,9.974048732800608,6.386788782295284,2.4859991783581453e-05
wide_jitter_noisy,0.15,30,9.781739786091446,0.07215783261102966,9.679608958397584,9.78390725300891,9.858611801162844,4.2752315387702655,1.613542853788077e-05
wide_jitter_noisy,0.2,30,9.806377695302341,0.06897513391229551,9.72758250895651,9.795627936520125,9.913327984645244,3.2249101539624845,1.6519669735752665e-05
wide_jitter_noisy,0.25,30,9.831566381773372,0.08634381041262845,9.746662219491723,9.844258388354252,9.914236878599844,2.5993227305801176,1.4944362309527252e-05
wide_jitter_noisy,0.3,30,9.900772264995801,0.07880581803637325,9.786151124960407,9.898695196005551,10.002156303367373,2.1863398307679693,1.212272543096737e-05
wide_jitter_noisy,0.35,30,9.988838851952572,0.08902916037831561,9.889571828421907,9.979481568045319,10.135080790952335,1.8951195072596114,1.3077637786400546e-05
