t,reference,input_used,y_zeta_0_25,err_signed_zeta_0_25,err_abs_zeta_0_25,cum_iae_zeta_0_25,y_zeta_0_707,err_signed_zeta_0_707,err_abs_zeta_0_707,cum_iae_zeta_0_707
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.018752344043005374,0.0001800225021375984,0.0001800225021375984,1.0525960801002598e-08,-0.0001800119761767974,0.0001800119761767974,1.6878232545642961e-06,1.0481075455098863e-08,-0.0001800120210621433,0.0001800120210621433,1.6878236754170206e-06
0.03750468808601075,0.00036004500022367766,0.00036004500022367766,8.40065226412519e-08,-0.00035996099370103643,0.00035996099370103643,6.750702707100555e-06,8.329352504688441e-08,-0.00035996170669863077,0.00035996170669863077,6.750710233994099e-06
0.05625703212901612,0.0005400674902067188,0.0005400674902067188,2.8283573728087973e-07,-0.0005397846544694379,0.0005397846544694379,1.5186872679945356e-05,2.792522656121789e-07,-0.0005397882379411066,0.0005397882379411066,1.5186920491273795e-05
0.0750093761720215,0.000720089968035203,0.000720089968035203,6.687814987227018e-07,-0.0007194211865364803,0.0007194211865364803,2.699340325569781e-05,6.575381114308645e-07,-0.0007194324299237721,0.0007194324299237721,2.69935900862064e-05
0.09376172021502688,0.0009001124296576119,0.0009001124296576119,1.3029697667587637e-06,-0.0008988094598908531,0.0008988094598908531,4.216621216706799e-05,1.2757199960963653e-06,-0.0008988367096615155,0.0008988367096615155,4.2166759916047205e-05
0.11251406425803225,0.0010801348710224267,0.0010801348710224267,2.245869162423186e-06,-0.0010778890018600035,0.0010778890018600035,6.0700076979083764e-05,2.189777172251776e-06,-0.0010779450938501749,0.0010779450938501749,6.070140615474913e-05
0.1312664083010376,0.0012601572880781304,0.0012601572880781304,3.5572759372720887e-06,-0.0012566000121408583,0.0012566000121408583,8.258864755666403e-05,3.4541213820671036e-06,-0.0012567031666960633,0.0012567031666960633,8.259146985533267e-05
0.150018752344043,0.0014401796767732052,0.0014401796767732052,5.2962993182626165e-06,-0.0014348833774549426,0.0014348833774549426,0.0001078244588105314,5.121618991529676e-06,-0.0014350580577816754,0.0014350580577816754,0.00010782988613684667
0.16877109638704837,0.0016202020330561347,0.0016202020330561347,7.521347229855078e-06,-0.0016126806858262797,0.0016126806858262797,0.00013639894371440586,7.2436130818136055e-06,-0.001612958419974321,0.001612958419974321,0.0001364086129566616
0.18752344043005376,0.0018002243528754038,0.0018002243528754038,1.029011239481504e-05,-0.0017899342404805888,0.0017899342404805888,0.00016830244658639176,9.869945491185316e-06,-0.0017903544073842185,0.0017903544073842185,0.00016831865946896195
0.2062757844730591,0.0019802466321794964,0.0019802466321794964,1.365955881504589e-05,-0.0019665870733644505,0.0019665870733644505,0.00020352423662744408,1.30489788010905e-05,-0.001967197653378406,0.001967197653378406,0.0002035501139704242
0.2250281285160645,0.002160268866916899,0.002160268866916899,1.7685908633636964e-05,-0.002142582958283262,0.002142582958283262,0.0002420525217097767,1.682761826025357e-05,-0.0021434412486566455,0.0021434412486566455,0.0002420921714341858
0.24378047255906987,0.002340291053036098,0.002340291053036098,2.242462937916782e-05,-0.0023178664236569303,0.0023178664236569303,0.0002838744624080533,2.1251333640803533e-05,-0.0023190397193952944,0.0023190397193952944,0.0002839331606333226
0.2625328166020752,0.0025203131864855823,0.0025203131864855823,2.793042159316576e-05,-0.002492382764892417,0.002492382764892417,0.00032897618626618566,2.6364181020620525e-05,-0.002493949005464962,0.002493949005464962,0.00032906057085516516
0.28128516064508063,0.00270033526321384,0.00270033526321384,3.425720684147126e-05,-0.0026660780563723687,0.0026660780563723687,0.00037734280229254644,3.220882448627467e-05,-0.0026681264387275654,0.0026681264387275654,0.00037746107820788927
0.300037504688086,0.0028803572791693626,0.0028803572791693626,4.1458116110124494e-05,-0.002838899163059238,0.002838899163059238,0.00042895841567639067,3.882655775110396e-05,-0.0028415307214182586,0.0028415307214182586,0.00042912057152092044
