environment_name,mode,level,noise_std,best_zeta_by_mean_true_iae,best_mean_true_iae,best_shadow_mass_l2,long_shadow_zeta,long_shadow_mean_true_iae,long_shadow_shadow_mass_l2,long_shadow_occupancy_proxy_l2,long_shadow_gap_vs_best
command_clean,command,clean,0.0,0.1,0.9637788478357874,2.5,0.1,0.9637788478357874,2.5,0.0,0.0
command_light,command,light,0.03,0.1,1.6020170338292776,2.4949702896584904,0.1,1.6020170338292776,2.4949702896584904,0.0022454732606926415,0.0
command_moderate,command,moderate,0.06,0.15,2.487602275053704,1.69151688921637,0.1,2.9176101319258465,2.514872443694036,0.00905354079729853,0.4300078568721424
command_heavy,command,heavy,0.1,0.25,3.4525461774028967,1.0164744535096701,0.1,4.6804772595285025,2.500253215027701,0.025002532150277014,1.2279310821256058
measurement_clean,measurement,clean,0.0,0.1,0.9637788478357874,2.5,0.1,0.9637788478357874,2.5,0.0,0.0
measurement_light,measurement,light,0.02,0.1,1.2661916580866872,2.4900657565113002,0.1,1.2661916580866872,2.4900657565113002,0.0009960263026045201,0.0
measurement_moderate,measurement,moderate,0.04,0.15,1.8998902603662882,1.6626040467342325,0.1,2.025804509031235,2.4879235227726317,0.003980677636436211,0.12591424866494672
measurement_heavy,measurement,heavy,0.08,0.2,3.0150483368434586,1.250674006064655,0.1,3.7509001628358307,2.4600351476154456,0.015744224944738854,0.7358518259923721
measurement_extreme,measurement,extreme,0.12,0.3,3.944482095633507,0.8393788994319052,0.1,5.507154233871694,2.570676112253827,0.037017736016455104,1.5626721382381872
