environment_name,mode,level,zeta,noise_std,noise_power,mean_true_iae,ci_true_iae_low,ci_true_iae_high,mean_excess_true_iae_over_clean,mean_shadow_mass_l2_trial,mean_occupancy_proxy_l2,stability_rate,bootstrap_best_frequency
command_clean,command,clean,0.15,0.0,0.0,0.33712568780428753,0.33712568780428753,0.33712568780428753,0.0,4.084562319877964,0.0,1.0,1.0
command_clean,command,clean,0.2,0.0,0.0,0.5928752440538774,0.5928752440538774,0.5928752440538774,0.0,2.3710689402877168,0.0,1.0,0.0
command_clean,command,clean,0.25,0.0,0.0,0.9216840989746177,0.9216840989746177,0.9216840989746177,0.0,1.570340379658791,0.0,1.0,0.0
command_clean,command,clean,0.35,0.0,0.0,1.8033996501839749,1.8033996501839749,1.8033996501839749,0.0,0.8582589217344164,0.0,1.0,0.0
command_clean,command,clean,0.5,0.0,0.0,3.666874946298413,3.666874946298413,3.666874946298413,0.0,0.46107470285022867,0.0,1.0,0.0
command_clean,command,clean,0.707,0.0,0.0,7.27800159773129,7.27800159773129,7.27800159773129,0.0,0.25621414481890314,0.0,1.0,0.0
command_clean,command,clean,1.0,0.0,0.0,14.34202550950042,14.34202550950042,14.34202550950042,0.0,0.14607637123598705,0.0,1.0,0.0
command_light,command,light,0.15,0.03,0.0009,1.794296639150207,1.7751701944598661,1.81391218969188,1.4571709513459195,4.111876885432224,0.0037006891968890017,1.0,0.0
command_light,command,light,0.2,0.03,0.0009,1.4336355004614456,1.4197343942939813,1.4470684643770517,0.840760256407568,2.3863677415397264,0.002147730967385754,1.0,0.0
command_light,command,light,0.25,0.03,0.0009,1.341873560196328,1.3295425593884225,1.353300183318148,0.42018946122171047,1.58009823675325,0.001422088413077925,1.0,1.0
command_light,command,light,0.35,0.03,0.0009,1.8212660144060828,1.8054053492962625,1.8362723580925688,0.01786636422210786,0.8632312139740941,0.0007769080925766846,1.0,0.0
command_light,command,light,0.5,0.03,0.0009,3.63777555515938,3.612386072169234,3.6619228666776857,-0.029099391139033263,0.4635521592042069,0.0004171969432837862,1.0,0.0
command_light,command,light,0.707,0.03,0.0009,7.233711367375808,7.188569315686416,7.2762214066147015,-0.044290230355481255,0.2575260604124601,0.0002317734543712141,1.0,0.0
command_light,command,light,1.0,0.03,0.0009,14.268160796105585,14.18517272485031,14.345381898262486,-0.07386471339483344,0.1468206864566675,0.00013213861781100075,1.0,0.0
