environment_name,mode,level,noise_std,noise_power,best_zeta,best_mean_true_iae,best_zeta_ci_low,best_zeta_ci_high,best_shadow_mass_l2,long_shadow_zeta,long_shadow_mean_true_iae,long_shadow_shadow_mass_l2,long_shadow_gap_vs_best,min_stability_rate
command_clean,command,clean,0.0,0.0,0.15,0.33712568780428753,0.15,0.15,4.084562319877964,0.15,0.33712568780428753,4.084562319877964,0.0,1.0
command_light,command,light,0.03,0.0009,0.25,1.341873560196328,0.25,0.25,1.58009823675325,0.15,1.794296639150207,4.111876885432224,0.452423078953879,1.0
command_moderate,command,moderate,0.06,0.0036,0.35,2.248888095212499,0.35,0.35,0.8597639456583258,0.15,3.5515700982775678,4.092640466058547,1.3026820030650685,1.0
command_heavy,command,heavy,0.1,0.010000000000000002,0.35,3.107845170988735,0.35,0.35,0.8685666134291823,0.15,5.882878228128368,4.144867484507284,2.7750330571396327,1.0
measurement_clean,measurement,clean,0.0,0.0,0.15,0.33712568780428753,0.15,0.15,4.084562319877964,0.15,0.33712568780428753,4.084562319877964,0.0,1.0
measurement_light,measurement,light,0.02,0.0004,0.2,1.0227025273867438,0.2,0.2,2.3705646230871036,0.15,1.210439214648449,4.083370432497795,0.18773668726170523,1.0
measurement_moderate,measurement,moderate,0.04,0.0016,0.25,1.658800862469763,0.25,0.25,1.594461905475847,0.15,2.383655911176293,4.152640794610774,0.7248550487065302,1.0
measurement_heavy,measurement,heavy,0.08,0.0064,0.35,2.6614949464229998,0.35,0.35,0.8723251064834545,0.15,4.7238456350670335,4.154532503673695,2.0623506886440337,1.0
measurement_extreme,measurement,extreme,0.12,0.0144,0.35,3.590568358629639,0.35,0.35,0.8739075412242567,0.15,7.089415010034984,4.1672398758972475,3.498846651405345,1.0
