environment_name,mode,level,zeta,noise_std,mean_true_iae,std_true_iae,p10_true_iae,median_true_iae,p90_true_iae,mean_excess_true_iae_over_clean,mean_shadow_mass_l2,occupancy_proxy_l2
command_clean,command,clean,0.1,0.0,0.9637788478357874,0.0,0.9637788478357874,0.9637788478357874,0.9637788478357874,0.0,2.5,0.0
command_clean,command,clean,0.15,0.0,1.3645993280450914,0.0,1.3645993280450914,1.3645993280450914,1.3645993280450914,0.0,1.6666666666666667,0.0
command_clean,command,clean,0.2,0.0,1.7921393539352053,0.0,1.7921393539352053,1.7921393539352053,1.7921393539352053,0.0,1.25,0.0
command_clean,command,clean,0.25,0.0,2.2332441569080084,0.0,2.2332441569080084,2.2332441569080084,2.2332441569080084,0.0,1.0,0.0
command_clean,command,clean,0.3,0.0,2.673884191767236,0.0,2.673884191767236,2.673884191767236,2.673884191767236,0.0,0.8333333333333334,0.0
command_clean,command,clean,0.4,0.0,3.553767585816903,0.0,3.553767585816903,3.553767585816903,3.553767585816903,0.0,0.625,0.0
command_clean,command,clean,0.55,0.0,4.870092080952677,0.0,4.870092080952677,4.870092080952677,4.870092080952677,0.0,0.45454545454545453,0.0
command_clean,command,clean,0.707,0.0,6.2433301517796895,0.0,6.2433301517796895,6.2433301517796895,6.2433301517796895,0.0,0.3536067892503536,0.0
command_clean,command,clean,1.0,0.0,8.793711179842926,0.0,8.793711179842926,8.793711179842926,8.793711179842926,0.0,0.25,0.0
command_light,command,light,0.1,0.03,1.6020170338292776,0.1534908716329723,1.392809687828321,1.6208081102930754,1.8020265984676054,0.63823818599349,2.4949702896584904,0.0022454732606926415
command_light,command,light,0.15,0.03,1.6062732237930621,0.08916268123307144,1.4899704106815217,1.6069109640107182,1.721440228629696,0.24167389574797077,1.6670972125153896,0.0015003874912638505
command_light,command,light,0.2,0.03,1.897729561413005,0.09983855833783865,1.7790175929598595,1.9111531911052462,2.020493532253262,0.10559020747780001,1.2421525388575598,0.0011179372849718038
command_light,command,light,0.25,0.03,2.2390601249360023,0.09782924837688076,2.11640380815701,2.22387323228116,2.3768359726276342,0.005815968027994334,1.008638812729008,0.0009077749314561072
command_light,command,light,0.3,0.03,2.666265441300858,0.11021216454398246,2.5375367821822077,2.66581405439341,2.795060407017615,-0.007618750466377644,0.8350802844612613,0.0007515722560151351
command_light,command,light,0.4,0.03,3.5453224554521663,0.14233796514925615,3.36470820342256,3.5308008029712807,3.7582979658484774,-0.008445130364736464,0.6258483430456978,0.000563263508741128
command_light,command,light,0.55,0.03,4.83609531043994,0.15501363944439947,4.6539688818757785,4.8211842894387384,5.062584604181727,-0.03399677051273655,0.45770649926810175,0.00041193584934129157
command_light,command,light,0.707,0.03,6.259803495552579,0.22479746668272785,5.941099108125764,6.2806373157286295,6.535709385977493,0.01647334377288965,0.35337214254823496,0.00031803492829341146
command_light,command,light,1.0,0.03,8.853688703621946,0.30806456810447674,8.403710159645613,8.823748184427737,9.222421795987934,0.05997752377901988,0.24852354201067578,0.0002236711878096082
command_moderate,command,moderate,0.1,0.06,2.9176101319258465,0.3071268410888004,2.5255876100076393,2.9319996606553986,3.309771602259886,1.9538312840900596,2.514872443694036,0.00905354079729853
command_moderate,command,moderate,0.15,0.06,2.487602275053704,0.21489887734070706,2.2463198588069715,2.4638428582117378,2.810260231412152,1.123002947008613,1.69151688921637,0.006089460801178931
command_moderate,command,moderate,0.2,0.06,2.497058661093855,0.16972347594975098,2.2506019783254576,2.5565620779190548,2.6883567023228814,0.7049193071586499,1.2457354373198877,0.004484647574351595
command_moderate,command,moderate,0.25,0.06,2.6454265319721215,0.15122248763928206,2.4454674524552296,2.654003107651714,2.8290758480173697,0.4121823750641134,0.9908315254029137,0.0035669934914504893
command_moderate,command,moderate,0.3,0.06,2.8904569097054855,0.2068153066299415,2.588547169328204,2.905622305352026,3.1790810347748946,0.21657271793824942,0.8282155610697849,0.0029815760198512254
command_moderate,command,moderate,0.4,0.06,3.5365178584225148,0.19830426327307044,3.297111283082558,3.537633411885013,3.784483767366086,-0.017249727394388615,0.6334222783134973,0.0022803202019285903
command_moderate,command,moderate,0.55,0.06,4.933669292250286,0.3382024808342577,4.494734233805155,4.966766835415873,5.354126628560093,0.06357721129760958,0.45048094855573717,0.0016217314148006538
command_moderate,command,moderate,0.707,0.06,6.186951670446023,0.42132389514262275,5.681150809168612,6.116552343517925,6.847916882914256,-0.0563784813336667,0.35994978968794833,0.001295819242876614
command_moderate,command,moderate,1.0,0.06,8.815097710326972,0.5217534649892731,8.192656618808323,8.787702359693535,9.639646931157914,0.02138653048404564,0.2506848076655118,0.0009024653075958425
command_heavy,command,heavy,0.1,0.1,4.6804772595285025,0.6428011536667174,4.034465825034098,4.5059643789522195,5.560779972489619,3.7166984116927155,2.500253215027701,0.025002532150277014
command_heavy,command,heavy,0.15,0.1,4.061667075896725,0.5000186218526803,3.550549477883968,3.987955961376544,4.751219527617013,2.6970677478516336,1.6905871298322346,0.01690587129832235
command_heavy,command,heavy,0.2,0.1,3.592089561061985,0.3575619825567306,3.105068596588179,3.6005371408793945,3.990192806552265,1.7999502071267799,1.2083513979161693,0.012083513979161695
command_heavy,command,heavy,0.25,0.1,3.4525461774028967,0.24698682741766634,3.157401709458699,3.439808345117027,3.7505229220383822,1.219302020494888,1.0164744535096701,0.010164744535096703
command_heavy,command,heavy,0.3,0.1,3.4868049416660463,0.20623128568379798,3.2023940720697928,3.5371136155612524,3.7528086985318234,0.8129207498988098,0.8388249959881835,0.008388249959881836
command_heavy,command,heavy,0.4,0.1,3.937528070445539,0.36988178255434584,3.537578312085862,3.844108208811967,4.419714955375379,0.38376048462863693,0.6218716893822254,0.006218716893822255
command_heavy,command,heavy,0.55,0.1,4.877150570847291,0.6987579527197479,4.065224511419763,4.740631368111412,5.726344279376803,0.007058489894613318,0.46220449858921164,0.004622044985892118
command_heavy,command,heavy,0.707,0.1,6.160023818482047,0.7840130678820677,5.320546558999284,5.982672560522397,7.4266117809721255,-0.08330633329764203,0.3638953621665971,0.003638953621665972
command_heavy,command,heavy,1.0,0.1,8.765019450449103,0.9041418985283018,7.73348867139167,8.659136971321503,10.079856411457591,-0.028691729393823674,0.25112452980317307,0.0025112452980317313
measurement_clean,measurement,clean,0.1,0.0,0.9637788478357874,0.0,0.9637788478357874,0.9637788478357874,0.9637788478357874,0.0,2.5,0.0
measurement_clean,measurement,clean,0.15,0.0,1.3645993280450914,0.0,1.3645993280450914,1.3645993280450914,1.3645993280450914,0.0,1.6666666666666667,0.0
measurement_clean,measurement,clean,0.2,0.0,1.7921393539352053,0.0,1.7921393539352053,1.7921393539352053,1.7921393539352053,0.0,1.25,0.0
measurement_clean,measurement,clean,0.25,0.0,2.2332441569080084,0.0,2.2332441569080084,2.2332441569080084,2.2332441569080084,0.0,1.0,0.0
