environment_name,mode,level,trial_index,zeta,noise_std,wn_scale,wn,shadow_mass_l2,occupancy_proxy_l2,true_iae,excess_true_iae_over_clean
command_clean,command,clean,0,0.1,0.0,1.0,1.0,2.5,0.0,0.9637788478357874,0.0
command_clean,command,clean,0,0.15,0.0,1.0,1.0,1.6666666666666667,0.0,1.3645993280450914,0.0
command_clean,command,clean,0,0.2,0.0,1.0,1.0,1.25,0.0,1.7921393539352053,0.0
command_clean,command,clean,0,0.25,0.0,1.0,1.0,1.0,0.0,2.2332441569080084,0.0
command_clean,command,clean,0,0.3,0.0,1.0,1.0,0.8333333333333334,0.0,2.673884191767236,0.0
command_clean,command,clean,0,0.4,0.0,1.0,1.0,0.625,0.0,3.553767585816903,0.0
command_clean,command,clean,0,0.55,0.0,1.0,1.0,0.45454545454545453,0.0,4.870092080952677,0.0
command_clean,command,clean,0,0.707,0.0,1.0,1.0,0.3536067892503536,0.0,6.2433301517796895,0.0
command_clean,command,clean,0,1.0,0.0,1.0,1.0,0.25,0.0,8.793711179842926,0.0
command_heavy,command,heavy,0,0.1,0.1,1.11828641120033,1.11828641120033,2.7957160280008244,0.02795716028000825,4.298895009899919,3.3351161620641316
command_heavy,command,heavy,1,0.1,0.1,0.8015957459259109,0.8015957459259109,2.003989364814777,0.02003989364814777,4.28230045008528,3.318521602249493
command_heavy,command,heavy,2,0.1,0.1,1.1149494947544476,1.1149494947544476,2.787373736886119,0.027873737368861194,4.531800748631531,3.568021900795743
command_heavy,command,heavy,3,0.1,0.1,1.1434531544819972,1.1434531544819972,2.858632886204993,0.028586328862049936,5.035698432891909,4.071919585056122
command_heavy,command,heavy,4,0.1,0.1,1.0394693252589735,1.0394693252589735,2.5986733131474336,0.02598673313147434,3.621883319163259,2.6581044713274715
command_heavy,command,heavy,5,0.1,0.1,0.8103735507017735,0.8103735507017735,2.0259338767544337,0.020259338767544342,4.041042756525824,3.077263908690037
command_heavy,command,heavy,6,0.1,0.1,1.199407805962985,1.199407805962985,2.998519514907462,0.029985195149074627,5.536279291077376,4.572500443241589
command_heavy,command,heavy,7,0.1,0.1,0.9531061794326585,0.9531061794326585,2.382765448581646,0.023827654485816464,4.189123787927452,3.2253449400916643
command_heavy,command,heavy,8,0.1,0.1,0.8757027117092031,0.8757027117092031,2.1892567792730078,0.02189256779273008,6.335401047431522,5.371622199595734
command_heavy,command,heavy,9,0.1,0.1,0.8478717432155164,0.8478717432155164,2.1196793580387907,0.02119679358038791,4.163478072995645,3.1996992251598573
command_heavy,command,heavy,10,0.1,0.1,1.1709695933225628,1.1709695933225628,2.9274239833064066,0.029274239833064073,4.973107035269035,4.009328187433248
command_heavy,command,heavy,11,0.1,0.1,0.8309344261292445,0.8309344261292445,2.077336065323111,0.020773360653231116,4.129204727761003,3.1654258799252157
command_heavy,command,heavy,12,0.1,0.1,0.8999452090889996,0.8999452090889996,2.249863022722499,0.022498630227224994,4.443402964369508,3.4796241165337203
command_heavy,command,heavy,13,0.1,0.1,1.0608716808866947,1.0608716808866947,2.6521792022167365,0.02652179202216737,5.781286105199802,4.817507257364015
command_heavy,command,heavy,14,0.1,0.1,0.819127711202931,0.819127711202931,2.0478192780073274,0.02047819278007328,5.439748604558853,4.475969756723066
command_heavy,command,heavy,15,0.1,0.1,1.0633028129095485,1.0633028129095485,2.658257032273871,0.026582570322738714,5.346157248501299,4.382378400665512
command_heavy,command,heavy,16,0.1,0.1,0.8730423427127282,0.8730423427127282,2.1826058567818203,0.021826058567818208,4.791917355513601,3.828138507677814
command_heavy,command,heavy,17,0.1,0.1,0.8789624964400051,0.8789624964400051,2.197406241100013,0.021974062411000132,4.3359604932606,3.372181645424813
command_heavy,command,heavy,18,0.1,0.1,1.0344240416438306,1.0344240416438306,2.5860601041095763,0.02586060104109577,4.897371396778281,3.9335925489424937
command_heavy,command,heavy,19,0.1,0.1,1.1385949538740234,1.1385949538740234,2.8464873846850582,0.028464873846850588,4.980662213930435,4.016883366094648
command_heavy,command,heavy,20,0.1,0.1,1.0647276902973521,1.0647276902973521,2.6618192257433804,0.02661819225743381,4.645876345006818,3.6820974971710307
command_heavy,command,heavy,21,0.1,0.1,1.1528063160904243,1.1528063160904243,2.8820157902260606,0.028820157902260612,4.620606883739075,3.656828035903288
command_heavy,command,heavy,22,0.1,0.1,1.1222328183474404,1.1222328183474404,2.8055820458686007,0.02805582045868601,5.2542781962099845,4.2904993483741976
command_heavy,command,heavy,23,0.1,0.1,1.06130767117385,1.06130767117385,2.653269177934625,0.026532691779346255,4.434307061684497,3.4705282138487097
command_heavy,command,heavy,24,0.1,0.1,0.8255367347960858,0.8255367347960858,2.0638418369902145,0.02063841836990215,4.161747010966138,3.197968163130351
command_heavy,command,heavy,25,0.1,0.1,0.888368850567226,0.888368850567226,2.2209221264180647,0.02220922126418065,3.7374992052140583,2.773720357378271
command_heavy,command,heavy,26,0.1,0.1,0.9475754803492203,0.9475754803492203,2.3689387008730507,0.023689387008730512,4.390238011398081,3.4264591635622934
command_heavy,command,heavy,27,0.1,0.1,1.0958216342898446,1.0958216342898446,2.7395540857246115,0.02739554085724612,6.0871924116953515,5.123413563859565
command_heavy,command,heavy,28,0.1,0.1,0.8944702787134748,0.8944702787134748,2.236175696783687,0.022361756967836873,4.179908656860183,3.216129809024396
command_heavy,command,heavy,29,0.1,0.1,1.059199395558647,1.059199395558647,2.6479984888966173,0.026479984888966177,4.845052582907792,3.881273735072005
command_heavy,command,heavy,30,0.1,0.1,1.0381760478610107,1.0381760478610107,2.5954401196525265,0.02595440119652527,4.768115572578377,3.804336724742589
command_heavy,command,heavy,31,0.1,0.1,0.9676626775197403,0.9676626775197403,2.4191566937993505,0.02419156693799351,4.21463449994404,3.250855652108253
command_heavy,command,heavy,32,0.1,0.1,1.0281413854413357,1.0281413854413357,2.570353463603339,0.025703534636033396,4.491988765230624,3.5282099173948365
command_heavy,command,heavy,33,0.1,0.1,0.8402496482058774,0.8402496482058774,2.1006241205146936,0.02100624120514694,4.519939992673815,3.5561611448380277
command_heavy,command,heavy,34,0.1,0.1,0.8809380737605809,0.8809380737605809,2.202345184401452,0.022023451844014524,5.911877083955648,4.948098236119861
command_heavy,command,heavy,35,0.1,0.1,1.1600616545853584,1.1600616545853584,2.900154136463396,0.029001541364633964,5.33722204743508,4.3734431995992935
command_heavy,command,heavy,36,0.1,0.1,1.1613254243082134,1.1613254243082134,2.9033135607705334,0.02903313560770534,3.975273441608561,3.0114945937727735
command_heavy,command,heavy,37,0.1,0.1,1.1370358317732867,1.1370358317732867,2.8425895794332168,0.028425895794332173,4.357686584555069,3.393907736719282
