test_name,test_title,zeta,true_iae,true_ise,peak_abs_error,mean_abs_error
altitude_ramp,Altitude Ramp,0.15,756.9320268478966,3223.9702310706925,5.324848710975375,4.2042212878792515
glide_profile,Glide Profile + Slow Correction,0.15,715.583938422919,2853.989509058579,4.473224521033617,3.9747010910327787
altitude_slow_sine,Altitude Slow Sine,0.15,81.2175105575688,47.92545455505713,0.8518195177402421,0.4510468900279046
altitude_ramp,Altitude Ramp,0.2,668.2560231222394,3040.436419317138,7.095186626004768,3.711339224509635
glide_profile,Glide Profile + Slow Correction,0.2,651.2425879234069,2589.5374643428377,5.96175360759033,3.6170249689829794
altitude_slow_sine,Altitude Slow Sine,0.2,85.83776006861723,61.33677947697244,1.1344536299404093,0.4767769183260015
altitude_ramp,Altitude Ramp,0.25,1067.0651945534598,7386.422423016304,10.337703008174994,5.926323980300722
glide_profile,Glide Profile + Slow Correction,0.25,1033.4829850508527,6348.683433195511,8.692359388316671,5.740076994683479
altitude_slow_sine,Altitude Slow Sine,0.25,130.7275354789723,141.26789067905767,1.650196293645367,0.7260989856866864
altitude_ramp,Altitude Ramp,0.35,1111.2698035845606,7983.207415335737,10.691094075121303,6.171837125634869
glide_profile,Glide Profile + Slow Correction,0.35,1075.7470291266332,6865.961852048261,8.99028861792765,5.974822103082961
altitude_slow_sine,Altitude Slow Sine,0.35,135.68174008943316,152.04388471565278,1.7062804309148247,0.7536149038333118
altitude_ramp,Altitude Ramp,0.5,886.2863840043436,5184.948865534782,8.887732278726634,4.922277419378668
glide_profile,Glide Profile + Slow Correction,0.5,860.415180130946,4442.1959652226615,7.471587158433373,4.778816712979705
altitude_slow_sine,Altitude Slow Sine,0.5,110.40870253128969,101.15608592051109,1.419481044549065,0.6132466515746727
altitude_ramp,Altitude Ramp,0.707,859.2306537935704,4888.33833860384,8.67081539435074,4.772009938686335
glide_profile,Glide Profile + Slow Correction,0.707,834.4879496081691,4185.636678815064,7.288851377921038,4.634810805391641
altitude_slow_sine,Altitude Slow Sine,0.707,107.3654452666535,95.7018475887889,1.384995529142592,0.5963441219670853
altitude_ramp,Altitude Ramp,1.0,742.4455977998916,3706.8948028274795,7.737657218591966,4.123386850808263
glide_profile,Glide Profile + Slow Correction,1.0,722.472751620923,3164.6785679889945,6.5027680736913975,4.012652970763095
altitude_slow_sine,Altitude Slow Sine,1.0,94.20281310109013,73.81255342395069,1.2366533301806784,0.5232374550411611
