environment_name,mode,level,noise_std,gust_std,zeta,mean_true_iae,mean_excess_true_iae_over_clean,mean_occupancy_proxy_l2,mean_observed_iae,stability_rate
command_clean,command,clean,0.0,0.0,0.15,305.3850257303136,0.0,0.0,,1.0
command_clean,command,clean,0.0,0.0,0.2,299.07476177327885,0.0,0.0,,1.0
command_clean,command,clean,0.0,0.0,0.25,436.5909065857538,0.0,0.0,,1.0
command_clean,command,clean,0.0,0.0,0.35,379.31944855074096,0.0,0.0,,1.0
command_clean,command,clean,0.0,0.0,0.5,362.86248324657015,0.0,0.0,,1.0
command_clean,command,clean,0.0,0.0,0.707,363.9069712925809,0.0,0.0,,1.0
command_clean,command,clean,0.0,0.0,1.0,351.0159113485154,0.0,0.0,,1.0
command_light,command,light,5.0,0.25,0.15,309.9771291066565,4.592103376342951,9.511830106581414,,1.0
command_light,command,light,5.0,0.25,0.2,309.6483437282001,10.573581954921202,6.491280836630303,,1.0
command_light,command,light,5.0,0.25,0.25,434.9602326182846,-1.6306739674692876,5.640231098547343,,1.0
command_light,command,light,5.0,0.25,0.35,385.9901331059679,6.670684555226934,6.112042001132659,,1.0
command_light,command,light,5.0,0.25,0.5,369.0510302265743,6.188546980004187,5.48055570612381,,1.0
command_light,command,light,5.0,0.25,0.707,371.40734405424683,7.500372761665966,5.45548586664942,,1.0
command_light,command,light,5.0,0.25,1.0,355.78459106634307,4.768679717827674,5.548431906999513,,1.0
command_moderate,command,moderate,10.0,0.5,0.15,369.6539765793821,64.26895084906847,38.37774220662286,,1.0
command_moderate,command,moderate,10.0,0.5,0.2,373.7341836743158,74.65942190103691,26.203046255157243,,1.0
command_moderate,command,moderate,10.0,0.5,0.25,487.00273269451617,50.41182610876224,22.971374519370357,,1.0
command_moderate,command,moderate,10.0,0.5,0.35,445.9029102005066,66.58346164976568,24.860627529468317,,1.0
command_moderate,command,moderate,10.0,0.5,0.5,426.24632389417775,63.38384064760765,22.07408902811211,,1.0
command_moderate,command,moderate,10.0,0.5,0.707,425.71247526099273,61.80550396841181,21.970742134550147,,1.0
command_moderate,command,moderate,10.0,0.5,1.0,415.7117437841321,64.69583243561678,22.341137310384685,,1.0
command_heavy,command,heavy,20.0,1.0,0.15,586.2552457536117,280.87022002329803,153.0148511811151,,1.0
