environment_name,mode,level,noise_std,gust_std,zeta,mean_true_iae,mean_excess_true_iae_over_clean,mean_occupancy_proxy_l2,mean_observed_iae,stability_rate
command_heavy,command,heavy,20.0,1.0,0.2,589.794668973058,290.71990719977913,104.52448376472013,,1.0
command_heavy,command,heavy,20.0,1.0,0.25,700.0250523505783,263.43414576482456,92.00972999261536,,1.0
command_heavy,command,heavy,20.0,1.0,0.35,660.6785068899563,281.3590583392153,100.22038139670818,,1.0
command_heavy,command,heavy,20.0,1.0,0.5,629.8773906961637,267.0149074495937,88.01555152993804,,1.0
command_heavy,command,heavy,20.0,1.0,0.707,642.1898521438451,278.2828808512641,87.60250566551458,,1.0
command_heavy,command,heavy,20.0,1.0,1.0,628.6683293486726,277.65241800015724,89.07394434909547,,1.0
measurement_clean,measurement,clean,0.0,0.0,0.15,305.3850257303136,0.0,0.0,380.65078688937314,1.0
measurement_clean,measurement,clean,0.0,0.0,0.2,299.07476177327885,0.0,0.0,374.5941961226042,1.0
measurement_clean,measurement,clean,0.0,0.0,0.25,436.5909065857538,0.0,0.0,511.9268011932719,1.0
measurement_clean,measurement,clean,0.0,0.0,0.35,379.31944855074096,0.0,0.0,454.73264179432715,1.0
measurement_clean,measurement,clean,0.0,0.0,0.5,362.86248324657015,0.0,0.0,438.2975734005197,1.0
measurement_clean,measurement,clean,0.0,0.0,0.707,363.9069712925809,0.0,0.0,439.3406421689607,1.0
measurement_clean,measurement,clean,0.0,0.0,1.0,351.0159113485154,0.0,0.0,426.4667710344073,1.0
measurement_light,measurement,light,3.0,0.25,0.15,301.9843586099986,-3.4006671203149867,3.4456853132164724,381.4817100571231,1.0
measurement_light,measurement,light,3.0,0.25,0.2,304.4693105662867,5.394548793007834,2.3521642318518112,384.5373575953183,1.0
measurement_light,measurement,light,3.0,0.25,0.25,438.4842651248681,1.8933585391143097,2.0473194967177455,516.4898091393521,1.0
measurement_light,measurement,light,3.0,0.25,0.35,379.34789829015733,0.028449739416382444,2.217221629196772,458.0610852739062,1.0
measurement_light,measurement,light,3.0,0.25,0.5,366.8159622254579,3.953478978887813,1.9848693661625854,446.3112359444135,1.0
measurement_light,measurement,light,3.0,0.25,0.707,367.5029490451389,3.5959777525579772,1.975741411447471,446.29732326372175,1.0
measurement_light,measurement,light,3.0,0.25,1.0,356.8629984751661,5.847087126650767,2.0093455916022744,435.5860597633918,1.0
measurement_moderate,measurement,moderate,6.0,0.5,0.15,323.490103259393,18.105077529079374,13.77768773485137,448.8893015647725,1.0
measurement_moderate,measurement,moderate,6.0,0.5,0.2,346.11903840796396,47.04427663468513,9.406363892990814,467.35322905849637,1.0
measurement_moderate,measurement,moderate,6.0,0.5,0.25,474.93043897312674,38.33953238737294,8.20971599181715,582.6422960737946,1.0
measurement_moderate,measurement,moderate,6.0,0.5,0.35,421.26429657165716,41.9448480209162,8.899209629027807,533.2426524025577,1.0
measurement_moderate,measurement,moderate,6.0,0.5,0.5,400.0128043408916,37.15032109432146,7.9344843030320025,514.727999676513,1.0
measurement_moderate,measurement,moderate,6.0,0.5,0.707,398.7421048015529,34.83513350897201,7.897869865328682,515.1770644379523,1.0
measurement_moderate,measurement,moderate,6.0,0.5,1.0,389.44158551462243,38.425674166107086,8.031793867270473,504.92730198680874,1.0
measurement_heavy,measurement,heavy,12.0,1.0,0.15,455.6701855133129,150.28515978299933,55.219938023229695,702.1435861418659,1.0
measurement_heavy,measurement,heavy,12.0,1.0,0.2,498.9044285306874,199.8296667574086,37.713944925698996,736.812560931091,1.0
measurement_heavy,measurement,heavy,12.0,1.0,0.25,642.6042437547446,206.01333716899077,33.160018138596485,849.4648857292952,1.0
measurement_heavy,measurement,heavy,12.0,1.0,0.35,579.6858020844932,200.36635353375215,36.116104170502986,798.6942151214905,1.0
measurement_heavy,measurement,heavy,12.0,1.0,0.5,558.3640629192221,195.50157967265193,31.76931940770409,782.1360661308255,1.0
measurement_heavy,measurement,heavy,12.0,1.0,0.707,560.4096439059989,196.50267261341796,31.620838382756233,781.9493640839445,1.0
measurement_heavy,measurement,heavy,12.0,1.0,1.0,555.7715675073873,204.75565615887206,32.15260510951715,777.2491744807991,1.0
measurement_extreme,measurement,extreme,18.0,1.5,0.15,617.0448189711658,311.65979324085225,124.33819605689732,987.4347006119597,1.0
measurement_extreme,measurement,extreme,18.0,1.5,0.2,689.3204817118458,390.2457199385668,84.9707466494722,1047.0974806837905,1.0
measurement_extreme,measurement,extreme,18.0,1.5,0.25,858.0745003830734,421.4835937973197,74.84815672799506,1167.7263764452878,1.0
measurement_extreme,measurement,extreme,18.0,1.5,0.35,786.0915556857725,406.77210713503155,81.3711127900325,1117.2275772604025,1.0
measurement_extreme,measurement,extreme,18.0,1.5,0.5,758.9960656058782,396.13358235930804,71.54146458621967,1095.8791515652404,1.0
measurement_extreme,measurement,extreme,18.0,1.5,0.707,768.6006346021169,404.6936633095361,71.20563329239663,1102.466897586541,1.0
measurement_extreme,measurement,extreme,18.0,1.5,1.0,745.959225316951,394.9433139684357,72.40223430658753,1086.829571364411,1.0
