environment_name,mode,level,zeta,noise_std,gust_std,mean_true_iae,std_true_iae,p10_true_iae,median_true_iae,p90_true_iae,ci_true_iae_low,ci_true_iae_high,mean_true_ise,mean_peak_abs_error,mean_abs_error,mean_excess_true_iae_over_clean,mean_shadow_mass_l2_trial,mean_occupancy_proxy_l2,mean_observed_iae,stability_rate,valid_trial_count,bootstrap_best_frequency
command_clean,command,clean,0.15,0.0,0.0,715.583938422919,0.0,715.583938422919,715.583938422919,715.583938422919,715.583938422919,715.583938422919,2853.989509058579,4.473224521033617,3.9747010910327787,0.0,0.38048733311239097,0.0,,1.0,1,0.0
command_clean,command,clean,0.2,0.0,0.0,651.2425879234069,0.0,651.2425879234069,651.2425879234069,651.2425879234069,651.2425879234069,651.2425879234069,2589.5374643428377,5.96175360759033,3.6170249689829794,0.0,0.2738908791242443,0.0,,1.0,1,1.0
command_clean,command,clean,0.25,0.0,0.0,1033.4829850508527,0.0,1033.4829850508527,1033.4829850508527,1033.4829850508527,1033.4829850508527,1033.4829850508527,6348.683433195511,8.692359388316671,5.740076994683479,0.0,0.22440162223065932,0.0,,1.0,1,0.0
command_clean,command,clean,0.35,0.0,0.0,1075.7470291266332,0.0,1075.7470291266332,1075.7470291266332,1075.7470291266332,1075.7470291266332,1075.7470291266332,6865.961852048261,8.99028861792765,5.974822103082961,0.0,0.2156430400621725,0.0,,1.0,1,0.0
command_clean,command,clean,0.5,0.0,0.0,860.415180130946,0.0,860.415180130946,860.415180130946,860.415180130946,860.415180130946,860.415180130946,4442.1959652226615,7.471587158433373,4.778816712979705,0.0,0.21647542737165718,0.0,,1.0,1,0.0
command_clean,command,clean,0.707,0.0,0.0,834.4879496081691,0.0,834.4879496081691,834.4879496081691,834.4879496081691,834.4879496081691,834.4879496081691,4185.636678815064,7.288851377921038,4.634810805391641,0.0,0.22103460032738334,0.0,,1.0,1,0.0
command_clean,command,clean,1.0,0.0,0.0,722.472751620923,0.0,722.472751620923,722.472751620923,722.472751620923,722.472751620923,722.472751620923,3164.6785679889945,6.5027680736913975,4.012652970763095,0.0,0.2490584969096591,0.0,,1.0,1,0.0
command_light,command,light,0.15,5.0,0.25,714.0157041481332,22.447315546319064,684.8146767066346,713.1122255513413,739.2146794499422,711.1704364799318,717.228333480752,2990.332414524894,6.473371637859552,3.96598378538759,-1.5682342747857427,0.3795538476683366,9.512568307187685,,1.0,200,0.0
command_light,command,light,0.2,5.0,0.25,649.1987621955366,22.33405918855523,621.2879387618958,649.7399792807247,675.2434264742943,646.4110308801816,652.3248593024474,2714.3715688408015,7.180075543838668,3.6056660858388727,-2.0438257278702845,0.2732539619641535,6.848427421726597,,1.0,200,1.0
command_light,command,light,0.25,5.0,0.25,1031.90405907622,25.960093606666433,997.4227741386968,1032.0431382429579,1060.8479087435976,1028.5580620352375,1035.7041557927175,6487.094726148115,9.78561876345,5.731294974299583,-1.5789259746328281,0.22364616285032643,5.605131956436305,,1.0,200,0.0
