environment_name,mode,level,trial_index,zeta,noise_std,gust_std,short_period_scale,phugoid_scale,control_scale,stability_flag,true_iae,true_ise,peak_abs_error,mean_abs_error,observed_iae,excess_true_iae_over_clean,shadow_mass_l2_trial,occupancy_proxy_l2,nuisance_power_scalar
command_clean,command,clean,0,0.15,0.0,0.0,1.0,1.0,1.0,1,715.583938422919,2853.989509058579,4.473224521033617,3.9747010910327787,,0.0,0.38048733311239097,0.0,0.0
command_clean,command,clean,0,0.2,0.0,0.0,1.0,1.0,1.0,1,651.2425879234069,2589.5374643428377,5.96175360759033,3.6170249689829794,,0.0,0.2738908791242443,0.0,0.0
command_clean,command,clean,0,0.25,0.0,0.0,1.0,1.0,1.0,1,1033.4829850508527,6348.683433195511,8.692359388316671,5.740076994683479,,0.0,0.22440162223065932,0.0,0.0
command_clean,command,clean,0,0.35,0.0,0.0,1.0,1.0,1.0,1,1075.7470291266332,6865.961852048261,8.99028861792765,5.974822103082961,,0.0,0.2156430400621725,0.0,0.0
command_clean,command,clean,0,0.5,0.0,0.0,1.0,1.0,1.0,1,860.415180130946,4442.1959652226615,7.471587158433373,4.778816712979705,,0.0,0.21647542737165718,0.0,0.0
command_clean,command,clean,0,0.707,0.0,0.0,1.0,1.0,1.0,1,834.4879496081691,4185.636678815064,7.288851377921038,4.634810805391641,,0.0,0.22103460032738334,0.0,0.0
command_clean,command,clean,0,1.0,0.0,0.0,1.0,1.0,1.0,1,722.472751620923,3164.6785679889945,6.5027680736913975,4.012652970763095,,0.0,0.2490584969096591,0.0,0.0
command_light,command,light,0,0.15,5.0,0.25,1.0259265240232844,1.0369399245839903,1.0499261141334828,1,679.0053618573058,2699.7541877164517,6.063042437575632,3.771648642578643,,-36.57857656561316,0.3845069683215404,9.636705893558606,25.0625
command_light,command,light,0,0.2,5.0,0.25,1.0259265240232844,1.0369399245839903,1.0499261141334828,1,616.309823255795,2430.9247353797687,6.75871025024372,3.423053920040464,,-34.93276466761188,0.2757585405074446,6.91119842146783,25.0625
command_light,command,light,0,0.25,5.0,0.25,1.0259265240232844,1.0369399245839903,1.0499261141334828,1,987.0076326041249,5916.819647701966,9.240076656301824,5.481976656678349,,-46.47535244672781,0.2254363256841231,5.6499979124583355,25.0625
command_light,command,light,0,0.35,5.0,0.25,1.0259265240232844,1.0369399245839903,1.0499261141334828,1,1028.1391647433275,6398.0707522505345,9.520106283667658,5.7104405601218495,,-47.607864383305696,0.216516066348601,5.426433912861812,25.0625
command_light,command,light,0,0.5,5.0,0.25,1.0259265240232844,1.0369399245839903,1.0499261141334828,1,818.4614427530471,4134.344834297685,8.155105439512429,4.545845776302738,,-41.95373737789896,0.21801139866874308,5.463910679135374,25.0625
command_light,command,light,0,0.707,5.0,0.25,1.0259265240232844,1.0369399245839903,1.0499261141334828,1,793.2315355093963,3896.8966827214585,7.979742770643927,4.405714017429091,,-41.25641409877278,0.22263114312223298,5.579693024500964,25.0625
command_light,command,light,0,1.0,5.0,0.25,1.0259265240232844,1.0369399245839903,1.0499261141334828,1,684.2911013566571,2956.1453668853483,7.254803531162782,3.8006333320258148,,-38.18165026426584,0.25108835401211355,6.292901872428596,25.0625
command_light,command,light,1,0.15,5.0,0.25,0.9749292893055547,0.9749261939504202,0.988912424196075,1,672.3894636511654,2635.7056983827324,5.603290846734524,3.734710153245672,,-43.19447477175356,0.3748900476992228,9.395681820461771,25.0625
command_light,command,light,1,0.2,5.0,0.25,0.9749292893055547,0.9749261939504202,0.988912424196075,1,607.0641723571343,2386.955768621081,6.885000985445426,3.37158067549926,,-44.17841556627252,0.27000035926754223,6.766884004142777,25.0625
command_light,command,light,1,0.25,5.0,0.25,0.9749292893055547,0.9749261939504202,0.988912424196075,1,988.3766628322174,5957.285837915003,9.94234259705184,5.489554386125229,,-45.10632221863523,0.219105409581106,5.491329327626469,25.0625
command_light,command,light,1,0.35,5.0,0.25,0.9749292893055547,0.9749261939504202,0.988912424196075,1,1030.5137422832136,6451.909640588499,10.224274685541225,5.723597001841561,,-45.23328684341959,0.21067406503070835,5.280018754832128,25.0625
command_light,command,light,1,0.5,5.0,0.25,0.9749292893055547,0.9749261939504202,0.988912424196075,1,815.6568049117129,4130.748173852641,8.574997721737333,4.5301652969847375,,-44.75837521923313,0.21389967620561443,5.3608606349032115,25.0625
command_light,command,light,1,0.707,5.0,0.25,0.9749292893055547,0.9749261939504202,0.988912424196075,1,789.7886056160039,3887.209101913085,8.360498391254197,4.3864848996045565,,-44.699343992165154,0.21840426021729667,5.473756771695998,25.0625
command_light,command,light,1,1.0,5.0,0.25,0.9749292893055547,0.9749261939504202,0.988912424196075,1,678.0202498795344,2924.0979847966305,7.402704108407143,3.765680183040878,,-44.45250174138857,0.2459178316029809,6.1633156545497085,25.0625
command_light,command,light,2,0.15,5.0,0.25,1.043514947325229,1.0225388906898276,0.951884198513278,1,712.0355189955465,2985.029057513288,6.327856968962237,3.9546713692026523,,-3.5484194273725507,0.3946877061123528,9.891860634440842,25.0625
command_light,command,light,2,0.2,5.0,0.25,1.043514947325229,1.0225388906898276,0.951884198513278,1,645.7148496716313,2738.548963317783,7.866389078624793,3.5860105785120484,,-5.527738251775531,0.28578394941050506,7.162460232100783,25.0625
command_light,command,light,2,0.25,5.0,0.25,1.043514947325229,1.0225388906898276,0.951884198513278,1,1032.3810827747018,6549.544152920575,9.987185216221878,5.733647076134025,,-1.101902276150895,0.2446645592366098,6.131905515867533,25.0625
command_light,command,light,2,0.35,5.0,0.25,1.043514947325229,1.0225388906898276,0.951884198513278,1,1075.1585532379288,7074.544214021371,10.193645191773804,5.971243697957429,,-0.5884758887043517,0.23472090316546645,5.882692635584503,25.0625
command_light,command,light,2,0.5,5.0,0.25,1.043514947325229,1.0225388906898276,0.951884198513278,1,857.0512468752654,4600.408632980205,9.108369507662864,4.759810678861968,,-3.3639332556806494,0.2234206427784405,5.599479859634665,25.0625
command_light,command,light,2,0.707,5.0,0.25,1.043514947325229,1.0225388906898276,0.951884198513278,1,830.8284934165565,4341.13279249418,8.967193877137703,4.614165053318904,,-3.6594561916125485,0.22806769688003264,5.715946653055818,25.0625
command_light,command,light,2,1.0,5.0,0.25,1.043514947325229,1.0225388906898276,0.951884198513278,1,717.5770983077234,3312.6496899109234,8.322434374782436,3.985141738223774,,-4.895653313199546,0.2573047857818367,6.448701193657282,25.0625
command_light,command,light,3,0.15,5.0,0.25,0.9574440845717977,0.9859546373165717,1.0236277043906135,1,691.2525748340435,2768.914749956596,6.122654438265897,3.8399924805408605,,-24.331363588875547,0.36907451423533305,9.249930013023034,25.0625
command_light,command,light,3,0.2,5.0,0.25,0.9574440845717977,0.9859546373165717,1.0236277043906135,1,624.880491448378,2518.6996968722356,6.788432354641211,3.471023000700359,,-26.362096475028807,0.26514744670640594,6.6452578830792985,25.0625
command_light,command,light,3,0.25,5.0,0.25,0.9574440845717977,0.9859546373165717,1.0236277043906135,1,998.9447773455552,6106.1869035898435,9.070858795860978,5.548561342926342,,-34.53820770529751,0.21130409883909834,5.295808977154902,25.0625
command_light,command,light,3,0.35,5.0,0.25,0.9574440845717977,0.9859546373165717,1.0236277043906135,1,1040.364259217506,6600.393764781125,9.284897845271681,5.778614309744374,,-35.38276990912709,0.20323610409510115,5.093604858883473,25.0625
command_light,command,light,3,0.5,5.0,0.25,0.9574440845717977,0.9859546373165717,1.0236277043906135,1,829.4558507208588,4279.318290050405,8.117120749144041,4.607217302409591,,-30.959329410087207,0.21094650490323635,5.2868467791373615,25.0625
command_light,command,light,3,0.707,5.0,0.25,0.9574440845717977,0.9859546373165717,1.0236277043906135,1,804.07992295002,4034.6336652197324,7.970923605976235,4.466279628886509,,-30.408026658149083,0.21541542486444556,5.398849085665167,25.0625
command_light,command,light,3,1.0,5.0,0.25,0.9574440845717977,0.9859546373165717,1.0236277043906135,1,694.4780064067916,3063.40548696185,7.324736906510335,3.8575591445150277,,-27.9947452141314,0.24246778644893863,6.076848897876524,25.0625
command_light,command,light,4,0.15,5.0,0.25,0.9815358992927244,0.9816480213837301,0.9952011203698236,1,711.4757255472224,2986.381695492416,6.85869107159877,3.9517077997369703,,-4.1082128756966085,0.3761736822039539,9.427852910236595,25.0625
command_light,command,light,4,0.2,5.0,0.25,0.9815358992927244,0.9816480213837301,0.9952011203698236,1,647.191199796619,2701.668182657637,7.688111690743526,3.594316074205575,,-4.051388126787856,0.2708180717117105,6.787377922274745,25.0625
command_light,command,light,4,0.25,5.0,0.25,0.9815358992927244,0.9816480213837301,0.9952011203698236,1,1034.6081447482034,6503.5796038401295,10.223455744170593,5.746078355588705,,1.125159697350682,0.2200912276261857,5.516036392381279,25.0625
